itemnameid,lvl
Weapon_Spear_Scrap,46
Weapon_Sword_Scrap,46
Weapon_Sword_Steel_Rusty,46
Armor_Bronze_Chest,50
Armor_Bronze_Hands,50
Armor_Bronze_Head,50
Armor_Bronze_Legs,50
Weapon_Bomb,50
Weapon_Daggers_Bronze,50
Weapon_Shortbow_Bronze,50
Weapon_Spear_Bronze,50
Weapon_Staff_Bronze,50
Weapon_Sword_Bronze,50
Armor_Bronze_Ornate_Chest,54
Armor_Bronze_Ornate_Hands,54
Armor_Bronze_Ornate_Head,54
Armor_Bronze_Ornate_Legs,54
Weapon_Daggers_Bronze_Ancient,54
Weapon_Sword_Bronze_Ancient,54
Armor_Iron_Chest,58
Armor_Iron_Hands,58
Armor_Iron_Head,58
Armor_Iron_Legs,58
Weapon_Arrow_Iron,58
Weapon_Axe_Iron,58
Weapon_Battleaxe_Iron,58
Weapon_Club_Iron,58
Weapon_Crossbow_Iron,58
Weapon_Daggers_Iron,58
Weapon_Longsword_Iron,58
Weapon_Mace_Iron,58
Weapon_Shield_Iron,58
Weapon_Shortbow_Iron,58
Weapon_Spear_Iron,58
Weapon_Staff_Iron,58
Weapon_Sword_Iron,58
Armor_Steel_Chest,62
Armor_Steel_Hands,62
Armor_Steel_Head,62
Armor_Steel_Legs,62
Weapon_Gun_Blunderbuss,62
Weapon_Sword_Steel,62
Armor_Steel_Ancient_Chest,65
Armor_Steel_Ancient_Hands,65
Armor_Steel_Ancient_Head,65
Armor_Steel_Ancient_Legs,65
Weapon_Crossbow_Ancient_Steel,65
Weapon_Sword_Silversteel,65
Armor_Trork_Chest,69
Armor_Trork_Hands,69
Armor_Trork_Head,69
Armor_Trork_Legs,69
Weapon_Axe_Stone_Trork,69
Weapon_Battleaxe_Stone_Trork,69
Weapon_Bomb_Potion_Poison,69
Weapon_Bomb_Stun,69
Weapon_Club_Stone_Trork,69
Weapon_Daggers_Stone_Trork,69
Weapon_Grenade_Frag,69
Weapon_Kunai,69
Weapon_Longsword_Stone_Trork,69
Weapon_Mace_Stone_Trork,69
Weapon_Shortbow_Combat,69
Weapon_Spear_Stone_Trork,69
Weapon_Sword_Cutlass,69
Weapon_Sword_Stone_Trork,69
Weapon_Wand_Stoneskin,69
Armor_Cloth_Silk_Chest,73
Armor_Cloth_Silk_Hands,73
Armor_Cloth_Silk_Head,73
Armor_Cloth_Silk_Legs,73
Armor_Cloth_Cindercloth_Chest,77
Armor_Cloth_Cindercloth_Hands,77
Armor_Cloth_Cindercloth_Head,77
Armor_Cloth_Cindercloth_Legs,77
Flamethrower_Goblin,77
Weapon_Bomb_Continuous,77
Weapon_Bomb_Fire,77
Weapon_Club_Zombie_Frost_Arm,77
Weapon_Club_Zombie_Frost_Leg,77
Weapon_Deployable_Healing_Totem,77
Weapon_Deployable_Slowness_Totem,77
Weapon_Longsword_Flame,77
Weapon_Shortbow_Bomb,77
Weapon_Shortbow_Flame,77
Weapon_Shortbow_Frost,77
Weapon_Spellbook_Fire,77
Weapon_Spellbook_Frost,77
Weapon_Staff_Crystal_Fire_Trork,77
Weapon_Staff_Crystal_Flame,77
Weapon_Staff_Crystal_Ice,77
Weapon_Staff_Frost,77
Weapon_Sword_Frost,77
Weapon_Sword_Steel_Incandescent,77
Armor_Cobalt_Chest,80
Armor_Cobalt_Hands,80
Armor_Cobalt_Head,80
Armor_Cobalt_Legs,80
Weapon_Arrow_Clearshot,80
Weapon_Axe_Cobalt,80
Weapon_Battleaxe_Cobalt,80
Weapon_Club_Cobalt,80
Weapon_Daggers_Cobalt,80
Weapon_Gun,80
Weapon_Longsword_Cobalt,80
Weapon_Mace_Cobalt,80
Weapon_Shield_Cobalt,80
Weapon_Shortbow_Cobalt,80
Weapon_Spear_Cobalt,80
Weapon_Staff_Cobalt,80
Weapon_Sword_Cobalt,80
Armor_Thorium_Chest,84
Armor_Thorium_Hands,84
Armor_Thorium_Head,84
Armor_Thorium_Legs,84
Weapon_Axe_Thorium,84
Weapon_Battleaxe_Thorium,84
Weapon_Bomb_Large_Fire,84
Weapon_Club_Thorium,84
Weapon_Daggers_Thorium,84
Weapon_Handgun,84
Weapon_Longsword_Katana,84
Weapon_Longsword_Thorium,84
Weapon_Mace_Thorium,84
Weapon_Shield_Thorium,84
Weapon_Shortbow_Thorium,84
Weapon_Spear_Thorium,84
Weapon_Staff_Crystal_Red,84
Weapon_Staff_Thorium,84
Weapon_Sword_Thorium,84
Armor_Adamantite_Chest,88
Armor_Adamantite_Hands,88
Armor_Adamantite_Head,88
Armor_Adamantite_Legs,88
Weapon_Axe_Adamantite,88
Weapon_Axe_Doomed,88
Weapon_Battleaxe_Adamantite,88
Weapon_Battleaxe_Doomed,88
Weapon_Club_Adamantite,88
Weapon_Club_Doomed,88
Weapon_Daggers_Adamantite,88
Weapon_Daggers_Adamantite_Saurian,88
Weapon_Daggers_Doomed,88
Weapon_Daggers_Fang_Doomed,88
Weapon_Longsword_Adamantite,88
Weapon_Longsword_Adamantite_Saurian,88
Weapon_Mace_Adamantite,88
Weapon_Shield_Adamantite,88
Weapon_Shield_Doomed,88
Weapon_Shortbow_Adamantite,88
Weapon_Shortbow_Doomed,88
Weapon_Spear_Adamantite,88
Weapon_Spear_Adamantite_Saurian,88
Weapon_Staff_Adamantite,88
Weapon_Staff_Doomed,88
Weapon_Sword_Adamantite,88
Armor_Mithril_Chest,92
Armor_Mithril_Hands,92
Armor_Mithril_Head,92
Armor_Mithril_Legs,92
Weapon_Arrow_Trueshot,92
Weapon_Axe_Mithril,92
Weapon_Battleaxe_Mithril,92
Weapon_Club_Mithril,92
Weapon_Daggers_Mithril,92
Weapon_Longsword_Mithril,92
Weapon_Mace_Mithril,92
Weapon_Shield_Mithril,92
Weapon_Shortbow_Mithril,92
Weapon_Spear_Mithril,92
Weapon_Staff_Mithril,92
Weapon_Sword_Mithril,92
Armor_Onyxium_Chest,96
Armor_Onyxium_Hands,96
Armor_Onyxium_Head,96
Armor_Onyxium_Legs,96
Weapon_Arrow_Deadeye,96
Weapon_Assault_Rifle,96
Weapon_Axe_Onyxium,96
Weapon_Battleaxe_Onyxium,96
Weapon_Battleaxe_Scarab,96
Weapon_Battleaxe_Scythe_Void,96
Weapon_Club_Onyxium,96
Weapon_Daggers_Onyxium,96
Weapon_Deployable_Turret,96
Weapon_Longsword_Nexus,96
Weapon_Longsword_Onyxium,96
Weapon_Longsword_Praetorian,96
Weapon_Longsword_Praetorian_NPC,96
Weapon_Longsword_Scarab,96
Weapon_Longsword_Spectral,96
Weapon_Longsword_Void,96
Weapon_Mace_Onyxium,96
Weapon_Shield_Onyxium,96
Weapon_Shield_Orbis_Knight,96
Weapon_Shield_Praetorian,96
Weapon_Shortbow_Onyxium,96
Weapon_Shortbow_Ricochet,96
Weapon_Shortbow_Vampire,96
Weapon_Spear_Onyxium,96
Weapon_Spellbook_Demon,96
Weapon_Spellbook_Grimoire_Brown,96
Weapon_Spellbook_Grimoire_Purple,96
Weapon_Staff_Crystal_Purple,96
Weapon_Staff_Onyxium,96
Weapon_Staff_Wizard,96
Weapon_Sword_Nexus,96
Weapon_Sword_Onyxium,96
Weapon_Sword_Runic,96
Armor_Prisma_Chest,100
Armor_Prisma_Hands,100
Armor_Prisma_Head,100
Armor_Prisma_Legs,100
Weapon_Longsword_Rekindle_Embers,100
Weapon_Mace_Prisma,100
Weapon_Shield_Orbis_Incandescent,100
Weapon_Spear_Double_Incandescent,100
Weapon_Spellbook_Rekindle_Embers,100
